watch_id,user_id,movie_id,watch_date,watch_duration_pct,device
1,1,1,2025-09-30,84.97,Laptop
2,1,3,2026-08-27,78.62,Laptop
3,1,6,2025-09-17,86.48,Laptop
4,1,47,2026-08-03,100.0,Laptop
5,1,50,2026-03-11,97.66,Laptop
6,1,70,2025-11-21,57.66,Laptop
7,1,101,2025-12-30,100.0,Laptop
8,1,110,2026-04-03,87.67,Laptop
9,1,151,2025-10-29,95.31,Laptop
10,1,157,2025-12-05,100.0,Laptop
11,1,163,2026-03-13,95.37,Laptop
12,1,216,2026-06-06,95.34,Laptop
13,1,223,2025-11-18,62.42,Laptop
14,1,231,2026-06-15,80.87,Laptop
15,1,235,2026-03-03,62.75,Laptop
16,1,260,2025-10-11,94.38,Laptop
17,1,296,2026-04-13,49.87,Laptop
18,1,316,2025-11-06,63.14,Laptop
19,1,333,2026-01-22,90.92,Laptop
20,1,349,2026-01-23,65.88,Laptop
21,1,356,2026-03-05,94.66,Laptop
22,1,362,2026-08-12,97.74,Laptop
23,1,367,2026-03-09,80.68,Laptop
24,1,423,2026-06-12,45.75,Laptop
25,1,441,2026-06-02,74.56,Laptop
26,1,457,2025-11-10,100.0,Laptop
27,1,480,2025-12-30,68.49,Laptop
28,1,500,2026-02-26,63.76,Laptop
29,1,527,2026-03-10,93.99,Laptop
30,1,543,2026-05-27,77.08,Laptop
31,1,552,2026-07-25,73.98,Laptop
32,1,553,2026-01-06,100.0,Laptop
33,1,590,2026-03-16,79.87,Laptop
34,1,592,2026-09-03,69.42,Laptop
35,1,593,2025-12-10,88.23,Laptop
36,1,596,2026-07-10,87.79,Laptop
37,1,608,2026-07-25,100.0,Laptop
38,1,648,2026-01-29,40.4,Laptop
39,1,661,2025-12-09,86.72,Laptop
40,1,673,2026-04-21,61.97,Laptop
41,1,733,2025-10-05,87.38,Laptop
42,1,736,2025-09-10,61.71,Laptop
43,1,780,2026-07-28,58.84,Laptop
44,1,804,2026-09-06,76.99,Laptop
45,1,919,2026-08-25,85.21,Laptop
46,1,923,2026-04-10,92.8,Laptop
47,1,940,2025-11-05,95.39,Laptop
